accession	assembly_name	strain	isolate	scientific_name
GCA_056402075	ASM5640207v1	P4_C3		Pseudomonas sp. P4_C3
GCA_056402095	ASM5640209v1	P4_C12		Peribacillus sp. P4_C12
GCA_056402115	ASM5640211v1	P4_C11		Mucilaginibacter sp. P4_C11
GCA_056402135	ASM5640213v1	P4_C10		Rhodococcus sp. P4_C10
GCA_056402155	ASM5640215v1	P4_C1		Pseudomonas sp. P4_C1
GCA_056402175	ASM5640217v1	P4_B8		Paenisporosarcina sp. P4_B8
GCA_056402195	ASM5640219v1	P4_B7		Paenisporosarcina sp. P4_B7
GCA_056402215	ASM5640221v1	P4_B6		Rhodococcus sp. P4_B6
GCA_056402235	ASM5640223v1	P4_B5_2		Cellulomonas sp. P4_B5_2
GCA_056402255	ASM5640225v1	P4_B4		Pseudomonas sp. P4_B4
GCA_056402275	ASM5640227v1	P4_B5		Azospirillum sp. P4_B5
GCA_056402295	ASM5640229v1	P4_B3		Pseudomonas sp. P4_B3
GCA_056402315	ASM5640231v1	P4_B2		Pseudoxanthomonas sp. P4_B2
GCA_056402335	ASM5640233v1	P4_B12		Allobosea sp. P4_B12
GCA_056402355	ASM5640235v1	P4_B11		Variovorax sp. P4_B11
GCA_056402375	ASM5640237v1	P4_B10		Variovorax sp. P4_B10
GCA_056402395	ASM5640239v1	P4_B1		Peribacillus sp. P4_B1
GCA_056402415	ASM5640241v1	P4_A9		Paenibacillus sp. P4_A9
GCA_056402435	ASM5640243v1	P4_A8		Rahnella sp. P4_A8
GCA_056402455	ASM5640245v1	P4_A7		Paenibacillus sp. P4_A7
GCA_056402475	ASM5640247v1	P4_A6		Mucilaginibacter sp. P4_A6
GCA_056402495	ASM5640249v1	P4_A5		Microvirga sp. P4_A5
GCA_056402515	ASM5640251v1	P4_A2		Cellulomonas sp. P4_A2
GCA_056402535	ASM5640253v1	P4_A11		Mucilaginibacter sp. P4_A11
GCA_056402555	ASM5640255v1	P4_A12		Rhodococcus sp. P4_A12
